State,Participation,Evidence-Based Reading and Writing,Math,Total,Total_differenced
Alabama,0.05,593,572,1165,38.901960784313815
Alaska,0.38,547,533,1080,-46.098039215686185
Arizona,0.3,563,553,1116,-10.098039215686185
Arkansas,0.03,614,594,1208,81.90196078431381
California,0.53,531,524,1055,-71.09803921568619
Colorado,0.11,606,595,1201,74.90196078431381
Connecticut,1.0,530,512,1041,-85.09803921568619
Delaware,1.0,503,492,996,-130.09803921568619
District of Columbia,1.0,482,468,950,-176.09803921568619
Florida,0.83,520,497,1017,-109.09803921568619
Georgia,0.61,535,515,1050,-76.09803921568619
Hawaii,0.55,544,541,1085,-41.098039215686185
Idaho,0.93,513,493,1005,-121.09803921568619
Illinois,0.09,559,556,1115,-11.098039215686185
Indiana,0.63,542,532,1074,-52.098039215686185
Iowa,0.02,641,635,1275,148.90196078431381
Kansas,0.04,632,628,1260,133.90196078431381
Kentucky,0.04,631,616,1247,120.90196078431381
Louisiana,0.04,611,586,1198,71.90196078431381
Maine,0.95,513,499,1012,-114.09803921568619
Maryland,0.69,536,524,1060,-66.09803921568619
Massachusetts,0.76,555,551,1107,-19.098039215686185
Michigan,1.0,509,495,1005,-121.09803921568619
Minnesota,0.03,644,651,1295,168.90196078431381
Mississippi,0.02,634,607,1242,115.90196078431381
Missouri,0.03,640,631,1271,144.90196078431381
Montana,0.1,605,591,1196,69.90196078431381
Nebraska,0.03,629,625,1253,126.90196078431381
Nevada,0.26,563,553,1116,-10.098039215686185
New Hampshire,0.96,532,520,1052,-74.09803921568619
New Jersey,0.7,530,526,1056,-70.09803921568619
New Mexico,0.11,577,561,1138,11.901960784313815
New York,0.67,528,523,1052,-74.09803921568619
North Carolina,0.49,546,535,1081,-45.098039215686185
North Dakota,0.02,635,621,1256,129.90196078431381
Ohio,0.12,578,570,1149,22.901960784313815
Oklahoma,0.07,530,517,1047,-79.09803921568619
Oregon,0.43,560,548,1108,-18.098039215686185
Pennsylvania,0.65,540,531,1071,-55.098039215686185
Rhode Island,0.71,539,524,1062,-64.09803921568619
South Carolina,0.5,543,521,1064,-62.098039215686185
South Dakota,0.03,612,603,1216,89.90196078431381
Tennessee,0.05,623,604,1228,101.90196078431381
Texas,0.62,513,507,1020,-106.09803921568619
Utah,0.03,624,614,1238,111.90196078431381
Vermont,0.6,562,551,1114,-12.098039215686185
Virginia,0.65,561,541,1102,-24.098039215686185
Washington,0.64,541,534,1075,-51.098039215686185
West Virginia,0.14,558,528,1086,-40.098039215686185
Wisconsin,0.03,642,649,1291,164.90196078431381
Wyoming,0.03,626,604,1230,103.90196078431381
